file_path,file_name,object_type,object_code,month,file_extension,file_size_mb,file_type
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.json","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.json",unknown,unknown,unknown,.json,15.18,metadata
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.xlsx","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.xlsx",unknown,unknown,unknown,.xlsx,0.83,other
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.zip","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Август.zip",unknown,unknown,unknown,.zip,2851.09,archive
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.json","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.json",unknown,unknown,unknown,.json,10.85,metadata
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.xlsx","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.xlsx",unknown,unknown,unknown,.xlsx,0.61,other
"C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.zip","Объекты недвижимости, не соответствующие градостроительным нормам_00-022_Июль.zip",unknown,unknown,unknown,.zip,2041.13,archive
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Август.json,Строительная площадка_18-001_Август.json,unknown,unknown,unknown,.json,20.82,metadata
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Август.xlsx,Строительная площадка_18-001_Август.xlsx,unknown,unknown,unknown,.xlsx,1.06,other
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Август.zip,Строительная площадка_18-001_Август.zip,unknown,unknown,unknown,.zip,3598.47,archive
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Июль.json,Строительная площадка_18-001_Июль.json,unknown,unknown,unknown,.json,20.77,metadata
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Июль.xlsx,Строительная площадка_18-001_Июль.xlsx,unknown,unknown,unknown,.xlsx,1.04,other
C:\PythonProjects\hahaton_vswm_obji_tresh\Метаданные\Метаданные\Выгрузка\Строительная площадка_18-001_Июль.zip,Строительная площадка_18-001_Июль.zip,unknown,unknown,unknown,.zip,3517.88,archive
